Paper Title,Figure Number,Point ID,Variable,Value,Reynolds number (Re),Geometry,P/e,e/D,Alpha,Aspect ratio,Number of ribbed walls,Reading on
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 75,Nu/Nu_0,1.28293063777663,20000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 76,Nu/Nu_0,1.2521718549660734,30000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 77,Nu/Nu_0,1.2084342568152355,40000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 78,Nu/Nu_0,1.2019482821867749,50000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 79,Nu/Nu_0,1.153758266151703,70000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 80,Nu/Nu_0,1.143904095727794,90000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 1,f/f_0,0.7182847663315259,8000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 2,f/f_0,0.7278481012658227,10000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 3,f/f_0,0.7879855440904189,15000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 4,f/f_0,0.8279290041158185,20000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 5,f/f_0,0.9579019714527636,30000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 6,f/f_0,1.0517094530306246,40000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 7,f/f_0,1.1357079351047243,50000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 8,f/f_0,1.235374603821103,70000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 9,f/f_0,1.315481626001679,90000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 10,Nu/Nu_0,1.915936135807861,6000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 11,Nu/Nu_0,1.7869695830180816,10000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 12,Nu/Nu_0,1.81679818947378,15000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 13,Nu/Nu_0,1.6678098291096188,20000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 14,Nu/Nu_0,1.6139103908451613,30000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 15,Nu/Nu_0,1.4737003131893116,40000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 16,Nu/Nu_0,1.4485017759686776,50000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 17,Nu/Nu_0,1.3185808756019464,70000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 18,Nu/Nu_0,1.3172228981107932,90000,Square duct,20.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 28,f/f_0,0.4456261958447561,6000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 29,f/f_0,0.4746835443037974,10000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 30,f/f_0,0.5078129061916034,15000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 31,f/f_0,0.5268639117100664,20000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 32,f/f_0,0.583070765232117,30000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 33,f/f_0,0.6265503124437763,40000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 34,f/f_0,0.6624962954777559,50000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 35,f/f_0,0.7206351855623102,70000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 36,f/f_0,0.7673642818343128,90000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 37,Nu/Nu_0,1.5599405395353227,7000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 38,Nu/Nu_0,1.6082726247162735,10000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 39,Nu/Nu_0,1.574558430877276,15000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 40,Nu/Nu_0,1.4881995398208905,20000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 41,Nu/Nu_0,1.4191281022948832,30000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 42,Nu/Nu_0,1.3263302818703804,40000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 43,Nu/Nu_0,1.2944058423549885,50000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 44,Nu/Nu_0,1.1867227880417517,70000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 45,Nu/Nu_0,1.178567856204394,90000,Square duct,40.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 1,f/f_0,3.5802874996787217,2500,Rectangular duct,10.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 2,f/f_0,3.9814581254331807,3000,Rectangular duct,10.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 3,f/f_0,4.470588536791901,5000,Rectangular duct,10.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 4,f/f_0,4.776077568757424,7000,Rectangular duct,10.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 5,f/f_0,5.221518987341772,10000,Rectangular duct,10.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 6,f/f_0,5.603452757976313,15000,Rectangular duct,10.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 7,f/f_0,6.20946753086864,20000,Rectangular duct,10.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 8,f/f_0,2.107830772288154,3000,Rectangular duct,20.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 9,f/f_0,2.7209169179587747,7000,Rectangular duct,20.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 10,f/f_0,3.0063291139240502,10000,Rectangular duct,20.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 11,f/f_0,3.2989334391121585,18000,Rectangular duct,20.0,0.102,90.0,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 12,f/f_0,1.2881188052872057,3000,Rectangular duct,15.0,0.056,90.0,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 13,f/f_0,1.4596741224205363,4000,Rectangular duct,15.0,0.056,90.0,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 14,f/f_0,1.8258702931750053,7500,Rectangular duct,15.0,0.056,90.0,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 15,f/f_0,1.8987341772151896,10000,Rectangular duct,15.0,0.056,90.0,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 16,f/f_0,2.2579881930431416,20000,Rectangular duct,15.0,0.056,90.0,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 1,Nu/Nu_0,1.6021620260325955,8000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 2,Nu/Nu_0,1.574558430877276,15000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 3,Nu/Nu_0,1.5304322671807564,30000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 4,Nu/Nu_0,1.4793209626914152,50000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 5,Nu/Nu_0,1.4834034850521896,70000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 6,Nu/Nu_0,1.5189241455653697,10000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 7,Nu/Nu_0,1.4112237015542928,20000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 8,Nu/Nu_0,1.391302061073415,30000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 9,Nu/Nu_0,1.2944058423549885,50000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 10,Nu/Nu_0,1.3185808756019464,70000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 11,Nu/Nu_0,1.3402271872635612,10000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 12,Nu/Nu_0,1.2572720250210971,20000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 13,Nu/Nu_0,1.2521718549660734,30000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 14,Nu/Nu_0,1.2019482821867749,50000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 15,Nu/Nu_0,1.153758266151703,70000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 16,Nu/Nu_0,1.4519127862021914,10000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 17,Nu/Nu_0,1.4112237015542928,20000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 18,Nu/Nu_0,1.2944058423549885,50000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 19,Nu/Nu_0,1.2856163537118976,70000,Square duct,20.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 20,Nu/Nu_0,1.2955529476881091,10000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 21,Nu/Nu_0,1.2316134122655644,20000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 22,Nu/Nu_0,1.1711290954640372,50000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 23,Nu/Nu_0,1.153758266151703,70000,Square duct,40.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 1,f/f_0,1.1075949367088609,10000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 2,f/f_0,1.1907337110699665,15000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 3,f/f_0,1.241893506173728,20000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 4,f/f_0,1.3327331776734102,30000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 5,f/f_0,1.3873614061255046,40000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 6,f/f_0,1.4669560828436023,50000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 7,f/f_0,1.5353677842491111,60000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 8,f/f_0,1.595692196602258,70000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 9,f/f_0,1.64986005524463,80000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 10,f/f_0,1.6991637669188355,90000,Straight,10.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 11,f/f_0,1.4242187023373587,12000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 12,f/f_0,1.7311242813330752,20000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 13,f/f_0,1.874156031103233,30000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 14,f/f_0,1.9691581248232968,40000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 15,f/f_0,2.1294523783213584,50000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 16,f/f_0,2.2287596868132256,60000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 17,f/f_0,2.3678013239904474,70000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 18,f/f_0,2.3949581447099466,80000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 19,f/f_0,2.5213397831698847,90000,Straight,10.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 20,f/f_0,1.5630799315933386,7000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 21,f/f_0,1.6219594517049734,13000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 22,f/f_0,1.768757417883794,20000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 23,f/f_0,1.9158039429055271,30000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 24,f/f_0,2.058665312315265,40000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 25,f/f_0,2.1294523783213584,50000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 26,f/f_0,2.2287596868132256,60000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 27,f/f_0,2.316327382164568,70000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 28,f/f_0,2.3949581447099466,80000,Straight,10.0,0.063,60.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 29,f/f_0,1.077427149497289,8000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 30,f/f_0,1.1703717848692223,14000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 31,f/f_0,1.2042603696230088,20000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 32,f/f_0,1.249437354068822,30000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 33,f/f_0,1.3426078123795206,40000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 34,f/f_0,1.4196349188809054,50000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 35,f/f_0,1.5353677842491111,60000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 36,f/f_0,1.5442182547763788,70000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 37,f/f_0,1.5966387631399643,80000,Straight,10.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 38,f/f_0,0.8679274259839272,8000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 39,f/f_0,0.8280341292659064,12000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 40,f/f_0,0.8279290041158185,20000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 41,f/f_0,0.8329582360458814,30000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 42,f/f_0,0.8055646874277124,40000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 43,f/f_0,0.8044597873658466,50000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 44,f/f_0,0.7924478886447025,60000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 45,f/f_0,0.8235830692140688,70000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 46,f/f_0,0.8515406736746477,80000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 47,f/f_0,0.8221760162510494,90000,Straight,10.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 48,f/f_0,0.607864417841854,7000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 49,f/f_0,0.60126582278481,10000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 50,f/f_0,0.5253236960602793,15000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 51,f/f_0,0.5268639117100664,20000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 52,f/f_0,0.5414228534298229,30000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 53,f/f_0,0.5370431249518083,40000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 54,f/f_0,0.5205328035896654,50000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 55,f/f_0,0.5448079234432329,60000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 56,f/f_0,0.5662133600846723,70000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 57,f/f_0,0.5322129210466549,80000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 58,f/f_0,0.5481173441673663,90000,Straight,10.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 1,f/f_0,0.7182847663315259,8000,Straight,20.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 2,f/f_0,0.7917220897644739,14000,Straight,20.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 3,f/f_0,0.9995498832550576,30000,Straight,20.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 4,f/f_0,1.0883867711420276,50000,Straight,20.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 5,f/f_0,1.224089718407306,80000,Straight,20.0,0.063,90.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 6,f/f_0,0.9841614384106208,7000,Straight,20.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 7,f/f_0,1.0267623202897238,12000,Straight,20.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 8,f/f_0,1.1666272330722898,20000,Straight,20.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 9,f/f_0,1.3873614061255046,40000,Straight,20.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 10,f/f_0,1.7030813473492954,80000,Straight,20.0,0.063,75.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 11,f/f_0,0.7236481164783976,7000,Straight,20.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 12,f/f_0,0.826144789319451,14000,Straight,20.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 13,f/f_0,0.9995498832550576,30000,Straight,20.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 14,f/f_0,1.0883867711420276,50000,Straight,20.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 15,f/f_0,1.224089718407306,80000,Straight,20.0,0.063,45.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 16,f/f_0,0.6657562671601257,7000,Straight,20.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 17,f/f_0,0.6303884352723351,15000,Straight,20.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 18,f/f_0,0.624718677034411,30000,Straight,20.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 19,f/f_0,0.6624962954777559,50000,Straight,20.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 20,f/f_0,0.6918767973606512,80000,Straight,20.0,0.063,30.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 21,f/f_0,0.4631347945461744,7000,Straight,20.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 22,f/f_0,0.4552805365855754,15000,Straight,20.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 23,f/f_0,0.4164791180229407,30000,Straight,20.0,0.063,15.0,1.0,2,
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 24,f/f_0,0.4258904756642716,50000,Straight,20.0,0.063,15.0,1.0,2,
