Paper Title,Figure Number,Point ID,Variable,Value,Reynolds number (Re),Geometry,P/e,e/D,Alpha,Aspect ratio,Number of ribbed walls,Reading on,Constant factor,Dittus-Boelter Value,Investigation
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 50,Nu,240,80000,Straight,10,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 1,Nu,50,8000,Straight,20,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 2,Nu,90,16000,Straight,20,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 3,Nu,145,30000,Straight,20,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 4,Nu,200,50000,Straight,20,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 5,Nu,250,80000,Straight,20,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 6,Nu,30,8000,Straight,20,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 7,Nu,50,16000,Straight,20,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 8,Nu,95,30000,Straight,20,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 9,Nu,135,50000,Straight,20,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 10,Nu,160,80000,Straight,20,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 11,Nu,52,8000,Straight,20,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 12,Nu,95,16000,Straight,20,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 13,Nu,160,30000,Straight,20,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 14,Nu,230,50000,Straight,20,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 15,Nu,320,80000,Straight,20,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 16,Nu,28,8000,Straight,20,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 17,Nu,55,16000,Straight,20,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 18,Nu,100,30000,Straight,20,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 19,Nu,145,50000,Straight,20,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 20,Nu,200,80000,Straight,20,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 21,Nu,65,8000,Straight,20,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 22,Nu,115,16000,Straight,20,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 23,Nu,185,30000,Straight,20,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 24,Nu,260,50000,Straight,20,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 25,Nu,320,80000,Straight,20,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 26,Nu,31,8000,Straight,20,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 27,Nu,58,16000,Straight,20,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 28,Nu,105,30000,Straight,20,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 29,Nu,155,50000,Straight,20,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 30,Nu,210,80000,Straight,20,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 31,Nu,70,8000,Straight,20,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 32,Nu,110,16000,Straight,20,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 33,Nu,165,30000,Straight,20,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 34,Nu,225,50000,Straight,20,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 35,Nu,280,80000,Straight,20,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 36,Nu,45,8000,Straight,20,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 37,Nu,70,16000,Straight,20,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 38,Nu,110,30000,Straight,20,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 39,Nu,145,50000,Straight,20,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 8,pt 40,Nu,200,80000,Straight,20,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 1,f,0.031,50000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 2,f,0.046,50000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 3,f,0.045,50000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 4,f,0.031,50000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 5,f,0.017,50000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 6,f,0.011,50000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 7,f,0.023,50000,Straight,20,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 8,f,0.032,50000,Straight,20,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 9,f,0.023,50000,Straight,20,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 10,f,0.014,50000,Straight,20,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 11,f,0.009,50000,Straight,20,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 12,f,0.005,50000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 13,St,0.0058,50000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 14,St,0.0072,50000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 15,St,0.0069,50000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 16,St,0.0066,50000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 17,St,0.0055,50000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 18,St,0.0031,50000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 19,St,0.0053,50000,Straight,20,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 20,St,0.0058,50000,Straight,20,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 21,St,0.0053,50000,Straight,20,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 22,St,0.0048,50000,Straight,20,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 23,St,0.003,50000,Straight,20,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 9,pt 24,St,0.0028,50000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
